data_type,scenario,scenario_label,month,period_start_kst,period_end_kst,period_completeness,observed_or_forecast_days,total_requests,avg_daily_requests,matched_requests,unmatched_requests,match_rate_pct,request_change_vs_previous,request_change_pct_vs_previous,avg_daily_request_change_pct_vs_previous,match_rate_change_pp_vs_previous,source_period_start_kst,source_period_end_kst,assumption,confidence_note
observed,actual,관측,2026-05,2026-05-20,2026-05-31,partial_start_month,12,113,9.42,72,41,63.7,,,,,2026-05-20T22:17:36.044,2026-06-30T10:21:51.16,운영 관측값; 배포 검증 호출 제외,5월과 6월은 모두 완전한 월 비교가 아니므로 전월 증감 해석 주의
observed,actual,관측,2026-06,2026-06-01,2026-06-30,partial_through_extract_time,30,167,5.57,103,64,61.7,54,47.8,-40.8,-2,2026-05-20T22:17:36.044,2026-06-30T10:21:51.16,운영 관측값; 배포 검증 호출 제외,5월과 6월은 모두 완전한 월 비교가 아니므로 전월 증감 해석 주의
scenario,conservative,보수,2026-07,2026-07-01,2026-07-31,forecast_full_month,31,203,6.55,161,42,79.4,36,21.6,17.6,17.7,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,재평가 개선 폭의 70%만 실제 운영에서 실현,통계 예측이 아닌 시나리오 계획값; 실제 월별 데이터 축적 후 갱신 필요
scenario,conservative,보수,2026-08,2026-08-01,2026-08-31,forecast_full_month,31,203,6.55,161,42,79.4,0,0,0,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,재평가 개선 폭의 70%만 실제 운영에서 실현,통계 예측이 아닌 시나리오 계획값; 실제 월별 데이터 축적 후 갱신 필요
scenario,conservative,보수,2026-09,2026-09-01,2026-09-30,forecast_full_month,30,197,6.57,156,41,79.4,-6,-3,0.3,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,재평가 개선 폭의 70%만 실제 운영에서 실현,통계 예측이 아닌 시나리오 계획값; 실제 월별 데이터 축적 후 갱신 필요
scenario,base,기준,2026-07,2026-07-01,2026-07-31,forecast_full_month,31,203,6.55,176,27,86.6,36,21.6,17.6,24.9,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,과거 미매칭 재평가 결과가 실제 운영에서도 동일하게 유지,통계 예측이 아닌 시나리오 계획값; 실제 월별 데이터 축적 후 갱신 필요
scenario,base,기준,2026-08,2026-08-01,2026-08-31,forecast_full_month,31,203,6.55,176,27,86.6,0,0,0,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,과거 미매칭 재평가 결과가 실제 운영에서도 동일하게 유지,통계 예측이 아닌 시나리오 계획값; 실제 월별 데이터 축적 후 갱신 필요
scenario,base,기준,2026-09,2026-09-01,2026-09-30,forecast_full_month,30,197,6.57,171,26,86.6,-6,-3,0.3,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,과거 미매칭 재평가 결과가 실제 운영에서도 동일하게 유지,통계 예측이 아닌 시나리오 계획값; 실제 월별 데이터 축적 후 갱신 필요
scenario,target,목표,2026-07,2026-07-01,2026-07-31,forecast_full_month,31,203,6.55,183,20,90,36,21.6,17.6,28.3,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,잔여 미매칭 보강과 오탈자 사전 운영 개선 후 목표치,통계 예측이 아닌 시나리오 계획값; 실제 월별 데이터 축적 후 갱신 필요
scenario,target,목표,2026-08,2026-08-01,2026-08-31,forecast_full_month,31,203,6.55,183,20,90,0,0,0,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,잔여 미매칭 보강과 오탈자 사전 운영 개선 후 목표치,통계 예측이 아닌 시나리오 계획값; 실제 월별 데이터 축적 후 갱신 필요
scenario,target,목표,2026-09,2026-09-01,2026-09-30,forecast_full_month,30,197,6.57,177,20,90,-6,-3,0.3,0,2026-05-20T22:17:36.044,2026-06-28T20:06:43.030,잔여 미매칭 보강과 오탈자 사전 운영 개선 후 목표치,통계 예측이 아닌 시나리오 계획값; 실제 월별 데이터 축적 후 갱신 필요
