session_id,user_hash,session_start_kst,session_end_kst,date_kst,week_start_kst,month_kst,brand,request_count,matched_count,unmatched_count,first_query,last_query,final_matched,final_faq_id,explicit_handoff_observed,one_turn_matched_end_proxy,faq_end_proxy,duration_minutes,interpretation_limit
S0001,6d24b5f673800df6,2026-05-20T22:17:36.044,2026-05-20T22:28:34.302,2026-05-20,2026-05-18,2026-05,laurastar,13,11,2,모델문의,AS 수거와 검수 기간은 얼마나 걸리나요?,true,as-pickup-time,false,false,true,11,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0002,4cf18fa48c23c6b2,2026-05-20T22:53:11.124,2026-05-20T22:53:11.124,2026-05-20,2026-05-18,2026-05,laurastar,1,1,0,불량이 의심되면 바로 AS 접수해야 하나요?,불량이 의심되면 바로 AS 접수해야 하나요?,true,as-before-check,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0003,6d24b5f673800df6,2026-05-21T00:16:45.771,2026-05-21T00:25:47.971,2026-05-21,2026-05-18,2026-05,laurastar,18,16,2,IGGI AS는 어떻게 진행되나요?,IZZI/Lift 필터 교체 주기는 어떻게 되나요?,true,izzi-lift-filter-replacement,false,false,true,9,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0004,6d24b5f673800df6,2026-05-21T08:08:31.459,2026-05-21T08:16:19.629,2026-05-21,2026-05-18,2026-05,laurastar,5,2,3,안녕하세요,공식 상담메뉴,false,,false,false,false,7.8,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0005,714fc30295d38271,2026-05-21T09:53:13.549,2026-05-21T09:53:13.549,2026-05-21,2026-05-18,2026-05,laurastar,1,1,0,제품비교,제품비교,true,lift-model-differences,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0006,714fc30295d38271,2026-05-21T12:16:29.556,2026-05-21T12:16:29.556,2026-05-21,2026-05-18,2026-05,laurastar,1,1,0,사용 설명서,사용 설명서,true,common-manual-video,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0007,fe40a64955aeccca,2026-05-21T21:19:03.812,2026-05-21T21:19:03.812,2026-05-21,2026-05-18,2026-05,laurastar,1,1,0,"안녕하세요. 네이버스토어에 문의 남겼는데 사진을 보내달라고 하셔서요. 
잇지 플러스 사용중이고 패브릭가드가 스티머 헤드에 결착이 안되고 계속 빠집니다. 서피스 가드는 좀 꾹 눌러야 하기는 하지만 고정은 되는데 패브릭가드는 아예 결착이 안되네요. 헤드의 문제인지 가드의 문제인지 모르겠는데 조치방법을 안내해 주세요.","안녕하세요. 네이버스토어에 문의 남겼는데 사진을 보내달라고 하셔서요. 
잇지 플러스 사용중이고 패브릭가드가 스티머 헤드에 결착이 안되고 계속 빠집니다. 서피스 가드는 좀 꾹 눌러야 하기는 하지만 고정은 되는데 패브릭가드는 아예 결착이 안되네요. 헤드의 문제인지 가드의 문제인지 모르겠는데 조치방법을 안내해 주세요.",true,izzi-vs-izzi-plus,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0008,1c530678e34536fd,2026-05-22T16:00:57.434,2026-05-22T16:10:09.955,2026-05-22,2026-05-18,2026-05,laurastar,13,6,7,팬이 돌다가 멈춰요,스마트 필터교체 기간,true,smart-water-not-moving,false,false,true,9.2,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0009,9ea7dd864069ce76,2026-05-22T16:01:11.854,2026-05-22T16:01:40.482,2026-05-22,2026-05-18,2026-05,laurastar,4,3,1,물 부족,"Smart I, Smart M, Smart U 차이가 무엇인가요?",true,smart-model-differences,false,false,true,0.5,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
S0010,01ab51657c592c32,2026-05-23T02:40:54.019,2026-05-23T02:40:54.019,2026-05-23,2026-05-18,2026-05,laurastar,1,1,0,사용중  뜨거운 물방울이 떨어져요 왜그럴까요??,사용중  뜨거운 물방울이 떨어져요 왜그럴까요??,true,common-first-water-drop,false,true,true,0,FAQ 종료 추정은 해결 완료 또는 상담 미연결을 증명하지 않음
