history_id,occurred_at_kst,inserted_at_kst,date_kst,week_start_kst,month_kst,record_class,brand,brand_name,method,path,source,user_hash,query,query_normalized,query_length,matched,score,faq_id,faq_question,category_id,category_name,answer_type,selected_model,query_corrected,typo_corrections,explicit_handoff_utterance
8,2026-05-20T22:17:36.044,2026-05-20T22:17:36.411191,2026-05-20,2026-05-18,2026-05,production_user,laurastar,Laurastar,POST,/faq/search,kakao_search,6d24b5f673800df6,모델문의,모델문의,4,false,0,,,,,common,,,[],false
9,2026-05-20T22:23:22.098,2026-05-20T22:23:22.388465,2026-05-20,2026-05-18,2026-05,production_user,laurastar,Laurastar,POST,/faq/search,kakao_search,6d24b5f673800df6,질문,질문,2,false,0,,,,,common,,,[],false
10,2026-05-20T22:23:34.742,2026-05-20T22:23:35.266414,2026-05-20,2026-05-18,2026-05,production_user,laurastar,Laurastar,POST,/faq/search,kakao_search,6d24b5f673800df6,"Smart I, Smart M, Smart U 차이가 무엇인가요?",smart i smart m smart u 차이가 무엇인가요,36,true,420,smart-model-differences,"Smart I, Smart M, Smart U 차이가 무엇인가요?",smart,Smart 시리즈,common,,,[],false
11,2026-05-20T22:23:45.186,2026-05-20T22:23:45.702401,2026-05-20,2026-05-18,2026-05,production_user,laurastar,Laurastar,POST,/faq/search,kakao_search,6d24b5f673800df6,"Lift, Lift Plus, Lift Xtra 차이가 무엇인가요?",lift lift plus lift xtra 차이가 무엇인가요,37,true,432,lift-model-differences,"Lift, Lift Plus, Lift Xtra 차이가 무엇인가요?",lift,Lift 시리즈,common,,,[],false
12,2026-05-20T22:24:06.56,2026-05-20T22:24:06.632727,2026-05-20,2026-05-18,2026-05,production_user,laurastar,Laurastar,POST,/faq/search,kakao_search,6d24b5f673800df6,사용 설명서,사용 설명서,6,true,236,common-manual-video,사용 설명서나 영상은 어디서 볼 수 있나요?,common,공통 사용/관리,common,,,[],false
13,2026-05-20T22:24:26.702,2026-05-20T22:24:26.754619,2026-05-20,2026-05-18,2026-05,production_user,laurastar,Laurastar,POST,/faq/search,kakao_search,6d24b5f673800df6,IGGI 사용 후 마개는 어떻게 보관하나요?,iggi 사용 후 마개는 어떻게 보관하나요,24,true,392,iggi-cap-storage,IGGI 사용 후 마개는 어떻게 보관하나요?,iggi,IGGI 핸디형 스티머,common,,,[],false
14,2026-05-20T22:27:02.016,2026-05-20T22:27:02.314157,2026-05-20,2026-05-18,2026-05,production_user,laurastar,Laurastar,POST,/faq/search,kakao_search,6d24b5f673800df6,매뉴얼,매뉴얼,3,true,138,common-manual-video,사용 설명서나 영상은 어디서 볼 수 있나요?,common,공통 사용/관리,common,,,[],false
15,2026-05-20T22:27:13.116,2026-05-20T22:27:13.158877,2026-05-20,2026-05-18,2026-05,production_user,laurastar,Laurastar,POST,/faq/search,kakao_search,6d24b5f673800df6,사용 설명서,사용 설명서,6,true,236,common-manual-video,사용 설명서나 영상은 어디서 볼 수 있나요?,common,공통 사용/관리,common,,,[],false
16,2026-05-20T22:27:26.952,2026-05-20T22:27:27.425518,2026-05-20,2026-05-18,2026-05,production_user,laurastar,Laurastar,POST,/faq/search,kakao_search,6d24b5f673800df6,사용 설명서,사용 설명서,6,true,236,common-manual-video,사용 설명서나 영상은 어디서 볼 수 있나요?,common,공통 사용/관리,common,,,[],false
17,2026-05-20T22:27:41.301,2026-05-20T22:27:41.505121,2026-05-20,2026-05-18,2026-05,production_user,laurastar,Laurastar,POST,/faq/search,kakao_search,6d24b5f673800df6,비교,비교,2,true,50,lift-model-differences,"Lift, Lift Plus, Lift Xtra 차이가 무엇인가요?",lift,Lift 시리즈,common,,,[],false
