브랜드키,브랜드명,출처,카테고리,FAQ_ID,버튼라벨,질문,현재URL,HTTP상태,자동검증OK,최종URL,페이지제목,gvcurate교체후보,후보HTTP상태,후보페이지제목,판정,권고
"laurastar","Laurastar","faq","IZZI 시리즈","izzi-lift-filter-buy","","IZZI/Lift 필터는 어디서 구매하나요?","https://brand.naver.com/laurastar/products/4758381107","429","N","https://brand.naver.com/laurastar/products/4758381107","[에러] 에러페이지 - 시스템오류","","","","자동검증제한","수정 필요"
"laurastar","Laurastar","faq","IGGI 핸디형 스티머","iggi-descaling","","IGGI 석회질 제거는 어떻게 하나요?","https://brand.naver.com/laurastar/products/7091588040","429","N","https://brand.naver.com/laurastar/products/7091588040","[에러] 에러페이지 - 시스템오류","","","","자동검증제한","수정 필요"
"woods","우즈 (WOODS)","faq","연속 배수 / 호스","woods-배수-호스는-어디에서-구매할수-있나요","","배수 호스는 어디에서 구매할수 있나요? (SW30FW PRO)","https://www.curationa.com/product/sw30fw-%EC%A0%84%EC%9A%A9-%EC%9A%B0%EC%A6%88-%EC%97%B0%EC%86%8D-%EB%B0%B0%EC%88%98-%ED%98%B8%EC%8A%A4-%EC%9B%90%ED%84%B0%EC%B9%98-%EC%BB%A4%ED%92%80%EB%9F%AC-%EA%B8%B8%EC%9D%B4-%EC%84%A0%ED%83%9D-%EA%B0%80%EB%8A%A5/925/category/177/display/1/","200","Y","https://www.curationa.com/product/sw30fw-%EC%A0%84%EC%9A%A9-%EC%9A%B0%EC%A6%88-%EC%97%B0%EC%86%8D-%EB%B0%B0%EC%88%98-%ED%98%B8%EC%8A%A4-%EC%9B%90%ED%84%B0%EC%B9%98-%EC%BB%A4%ED%92%80%EB%9F%AC-%EA%B8%B8%EC%9D%B4-%EC%84%A0%ED%83%9D-%EA%B0%80%EB%8A%A5/925/category/177/display/1/","[SW30FW 전용] 우즈 연속 배수 호스 + 원터치 커풀러 (길이 선택 가능)","https://gvcurate.com/product/sw30fw-%EC%A0%84%EC%9A%A9-%EC%9A%B0%EC%A6%88-%EC%97%B0%EC%86%8D-%EB%B0%B0%EC%88%98-%ED%98%B8%EC%8A%A4-%EC%9B%90%ED%84%B0%EC%B9%98-%EC%BB%A4%ED%92%80%EB%9F%AC-%EA%B8%B8%EC%9D%B4-%EC%84%A0%ED%83%9D-%EA%B0%80%EB%8A%A5/925/category/177/display/1/","200","[SW30FW 전용] 우즈 연속 배수 호스 + 원터치 커풀러 (길이 선택 가능)","구도메인교체권장","도메인 gvcurate 전환 권장"
"woods","우즈 (WOODS)","faq","연속 배수 / 호스","woods-배수-호스는-어디에서-구매할수-있나요","","배수 호스는 어디에서 구매할수 있나요? (SW22FW)","https://www.curationa.com/product/%EC%9A%B0%EC%A6%88-%EC%97%B0%EC%86%8D-%EB%B0%B0%EC%88%98-%ED%98%B8%EC%8A%A4-%EC%9B%90%ED%84%B0%EC%B9%98-%EC%BB%A4%ED%92%80%EB%9F%AC-%EA%B8%B8%EC%9D%B4-%EC%84%A0%ED%83%9D-%EA%B0%80%EB%8A%A5/926/category/177/display/1/","200","Y","https://www.curationa.com/product/%EC%9A%B0%EC%A6%88-%EC%97%B0%EC%86%8D-%EB%B0%B0%EC%88%98-%ED%98%B8%EC%8A%A4-%EC%9B%90%ED%84%B0%EC%B9%98-%EC%BB%A4%ED%92%80%EB%9F%AC-%EA%B8%B8%EC%9D%B4-%EC%84%A0%ED%83%9D-%EA%B0%80%EB%8A%A5/926/category/177/display/1/","우즈 연속 배수 호스 + 원터치 커풀러 (길이 선택 가능)","https://gvcurate.com/product/%EC%9A%B0%EC%A6%88-%EC%97%B0%EC%86%8D-%EB%B0%B0%EC%88%98-%ED%98%B8%EC%8A%A4-%EC%9B%90%ED%84%B0%EC%B9%98-%EC%BB%A4%ED%92%80%EB%9F%AC-%EA%B8%B8%EC%9D%B4-%EC%84%A0%ED%83%9D-%EA%B0%80%EB%8A%A5/926/category/177/display/1/","200","우즈 연속 배수 호스 + 원터치 커풀러 (길이 선택 가능)","구도메인교체권장","도메인 gvcurate 전환 권장"
"woods","우즈 (WOODS)","faq","필터 관리 / 구매","woods-필터는-어디에서-구매하나요","","필터는 어디에서 구매하나요? (SW30FW PRO)","https://brand.naver.com/woods/products/10472591642","429","N","https://brand.naver.com/woods/products/10472591642","[에러] 에러페이지 - 시스템오류","","","","자동검증제한","수정 필요"
"woods","우즈 (WOODS)","faq","필터 관리 / 구매","woods-필터는-어디에서-구매하나요","","필터는 어디에서 구매하나요? (SW22FW)","https://brand.naver.com/woods/products/5728877145","429","N","https://brand.naver.com/woods/products/5728877145","[에러] 에러페이지 - 시스템오류","","","","자동검증제한","수정 필요"
"woods","우즈 (WOODS)","faq","필터 관리 / 구매","woods-필터는-어디에서-구매하나요","","필터는 어디에서 구매하나요? (SW22FW)","https://brand.naver.com/woods/products/5728882036","429","N","https://brand.naver.com/woods/products/5728882036","[에러] 에러페이지 - 시스템오류","","","","자동검증제한","수정 필요"
"aarke","아르케 (Aarke)","faq","실린더/리필","aarke-refill-cylinder-purchase","","충전 실린더는 어떻게 구매하나요?","https://gvcurate.com/product/detail.html?product_no=764","200","Y","https://gvcurate.com/product/detail.html?product_no=764","[충전권/실린더 7월 말 예약배송]아르케 탄산수 제조기 카보네이터3 프로 전용 탄산 실린더 교환 가스충전 리필","","","","정상","유지 가능"
"aarke","아르케 (Aarke)","faq","AS/보증/등록","aarke-product-purchase","","아르케 제품과 액세서리는 어디서 구매하나요?","https://gvcurate.com/","200","Y","https://gvcurate.com/","게이트비젼 공식몰 GVCU | 프리미엄 가전 공식수입원","","","","정상","유지 가능"
"litter-robot","리터로봇 (Litter-Robot)","faq","소모품 / 구매 / 설명서","litter-robot-라이너는-어디에서-구매해나요","","라이너는 어디에서 구매해나요?","https://www.curationa.com/product/search.html?banner_action=&keyword=%EB%9D%BC%EC%9D%B4%EB%84%88","200","Y","https://www.curationa.com/product/search.html?banner_action=&keyword=%EB%9D%BC%EC%9D%B4%EB%84%88","게이트비젼 공식몰 GVCU | 프리미엄 가전 공식수입원","https://gvcurate.com/product/search.html?banner_action=&keyword=%EB%9D%BC%EC%9D%B4%EB%84%88","200","게이트비젼 공식몰 GVCU | 프리미엄 가전 공식수입원","구도메인교체권장","도메인 gvcurate 전환 권장"
